Wavenumbers,Aavg
7.333333333,-0.023302305
7.33337,0.037257396
7.333406667,-0.019935411
7.333443333,0.027434765
7.33348,-0.00246452
7.333516667,0.010936494
7.333553333,0.011620317
7.33359,-0.010965993
7.333626667,0.027824912
7.333663333,-0.021691988
7.3337,0.033500928
7.333736667,-0.028239292
7.333773333,0.033854864
7.33381,-0.021821961
7.333846667,0.022428972
7.333883333,-0.005037597
7.33392,0.004664003
7.333956667,0.008759825
7.333993333,-0.017339477
7.33403,0.026180125
7.334066667,-0.02634224
7.334103333,0.031976124
7.33414,-0.031732781
7.334176667,0.029430363
7.334213333,-0.024772975
7.33425,0.016817257
7.334286667,-0.008289163
7.334323333,-0.001852967
7.33436,0.005520313
7.334396667,-0.024518084
7.334433333,0.021257988
7.33447,-0.033026973
7.334506667,0.026570134
7.334543333,-0.037340808
7.33458,0.024028246
7.334616667,-0.028118623
7.334653333,0.010366462
7.33469,-0.009871794
7.334726667,-0.006081292
7.334763333,0.003449554
7.3348,-0.028328166
7.334836667,0.018733854
7.334873333,-0.036752166
7.33491,0.024623573
7.334946667,-0.037547199
7.334983333,0.02312124
7.33502,-0.027168414
7.335056667,0.01092952
7.335093333,-0.005890027
7.33513,-0.00480311
7.335166667,0.01018197
7.335203333,-0.023602884
7.33524,0.027627893
7.335276667,-0.029068516
7.335313333,0.032944524
7.33535,-0.029674157
7.335386667,0.029010869
7.335423333,-0.020028547
7.33546,0.013983614
7.335496667,-7.22242E-05
7.335533333,-0.00146788
7.33557,0.014117528
7.335606667,-0.022206981
7.335643333,0.02907302
7.33568,-0.029081911
7.335716667,0.034140951
7.335753333,-0.028498887
7.33579,0.02912546
7.335826667,-0.017454606
7.335863333,0.014259137
7.3359,0.003521106
7.335936667,-0.002334494
7.335973333,0.017222974
7.33601,-0.02264521
7.336046667,0.032262071
7.336083333,-0.028530847
7.33612,0.036104372
7.336156667,-0.027965092
7.336193333,0.029926193
7.33623,-0.017663359
7.336266667,0.012178692
7.336303333,0.002326298
7.33634,-0.005633669
7.336376667,0.014883749
7.336413333,-0.027289791
7.33645,0.029216881
7.336486667,-0.032569168
7.336523333,0.031801026
7.33656,-0.030076401
7.336596667,0.025031518
7.336633333,-0.019562934
7.33667,0.007484014
7.336706667,0.001262739
7.336743333,-0.010289669
7.33678,0.015662986
7.336816667,-0.029633956
7.336853333,0.030090606
7.33689,-0.033075789
7.336926667,0.032902661
7.336963333,-0.028371738
7.337,0.025168679
7.337036667,-0.016233427
7.337073333,0.008307241
7.33711,0.005483075
7.337146667,-0.008126582
7.337183333,0.019690564
7.33722,-0.027185643
7.337256667,0.032878913
7.337293333,-0.030815624
7.33733,0.035425533
7.337366667,-0.024448949
7.337403333,0.027744323
7.33744,-0.011209263
7.337476667,0.010324773
7.337513333,0.011591844
7.33755,-0.004439803
7.337586667,0.025241842
7.337623333,-0.021894252
7.33766,0.038985686
7.337696667,-0.024397183
7.337733333,0.040999235
7.33777,-0.017608557
7.337806667,0.03184436
7.337843333,-0.004191951
7.33788,0.012948529
7.337916667,0.017309409
7.337953333,-0.002185714
7.33799,0.029625913
7.338026667,-0.019377185
